Iteration 0
curr length is5254
curr length is4503
curr length is5200
Iteration 15
curr length is4705
curr length is4392
curr length is4632
curr length is4804
curr length is4681
curr length is4641
curr length is5026
curr length is4838
curr length is5512
curr length is4562
curr length is4787
curr length is4408
curr length is4717
curr length is4881
curr length is4128
curr length is4727
curr length is4364
curr length is4629
curr length is3913
curr length is4417
curr length is5249
curr length is4619
curr length is4848
curr length is4356
curr length is4541
curr length is4608
curr length is4235
curr length is4242
curr length is4587
curr length is4855
curr length is4181
curr length is4770
curr length is4350
curr length is4981
curr length is5293
curr length is4687
curr length is5206
curr length is4953
curr length is4386
curr length is4883
curr length is5125
curr length is4779
curr length is4830
curr length is5479
curr length is4707
curr length is5158
curr length is5005
curr length is5073
curr length is4949
curr length is3677
Iteration 16
curr length is4790
curr length is4771
curr length is4934
curr length is4811
curr length is5142
curr length is4809
curr length is5146
curr length is4100
curr length is4439
curr length is5121
curr length is3684
curr length is4813
curr length is4790
curr length is4239
curr length is3614
curr length is5352
curr length is4160
curr length is3604
curr length is4658
curr length is4398
curr length is4138
curr length is4857
curr length is4357
curr length is4267
curr length is4577
curr length is5088
curr length is4361
curr length is5107
curr length is5074
curr length is4516
curr length is5008
curr length is4235
curr length is4419
curr length is4640
curr length is4783
curr length is4586
curr length is4809
curr length is5030
curr length is4318
curr length is4464
curr length is4829
curr length is4324
curr length is4188
curr length is4615
curr length is3781
curr length is5205
curr length is4675
curr length is4693
curr length is4682
curr length is4834
Iteration 17
curr length is4775
curr length is4459
curr length is4463
curr length is4251
curr length is4465
curr length is4850
curr length is4928
curr length is4794
curr length is4585
curr length is4378
curr length is5357
curr length is4758
curr length is4492
curr length is4360
curr length is4990
curr length is4652
curr length is5342
curr length is4844
curr length is4378
curr length is4646
curr length is4451
curr length is3885
curr length is4910
curr length is4981
curr length is4780
curr length is4381
curr length is4076
curr length is3412
curr length is4118
curr length is4293
curr length is5278
curr length is4195
curr length is4298
curr length is5271
curr length is4683
curr length is4462
curr length is4461
curr length is4948
curr length is4851
curr length is5378
curr length is4380
curr length is5181
curr length is5101
curr length is5621
curr length is4787
curr length is5165
curr length is4937
curr length is4456
curr length is5039
curr length is4232
Iteration 18
curr length is4481
curr length is5113
curr length is4122
curr length is5178
curr length is4519
curr length is5247
curr length is4554
curr length is5075
curr length is4706
curr length is4932
curr length is5021
curr length is4439
curr length is4964
curr length is4053
curr length is4256
curr length is5019
curr length is5203
curr length is5419
curr length is4517
curr length is4318
curr length is5073
curr length is5063
curr length is5161
curr length is4172
curr length is5223
curr length is4870
curr length is3880
curr length is4822
curr length is5135
curr length is3943
curr length is4256
curr length is5515
curr length is4802
curr length is5065
curr length is3695
curr length is3416
curr length is3701
curr length is5052
curr length is4761
curr length is4586
curr length is5019
curr length is5022
curr length is4203
curr length is4406
curr length is3951
curr length is4295
curr length is5065
curr length is4749
curr length is4728
curr length is3391
Iteration 19
curr length is3927
curr length is4488
curr length is5107
curr length is4972
curr length is3755
curr length is4973
curr length is4906
curr length is4758
curr length is5004
curr length is4789
curr length is4562
curr length is5430
curr length is4300
curr length is4643
curr length is5232
curr length is5197
curr length is5070
curr length is4245
curr length is4150
curr length is4881
curr length is4999
curr length is4003
curr length is4625
curr length is4782
curr length is5239
curr length is4992
curr length is4526
curr length is4662
curr length is4506
curr length is5175
curr length is4977
curr length is4081
curr length is4455
curr length is4975
curr length is5267
curr length is4633
curr length is4298
curr length is5039
curr length is5092
curr length is3593
curr length is4260
curr length is4673
curr length is4909
curr length is4434
curr length is4095
curr length is4332
curr length is4770
curr length is4558
curr length is5210
curr length is4745
Iteration 20
curr length is4798
curr length is4330
curr length is4336
curr length is4681
curr length is4238
curr length is4131
curr length is4928
curr length is4730
curr length is4671
curr length is4483
curr length is4743
curr length is5914
curr length is4922
curr length is5309
curr length is4110
curr length is4890
curr length is4570
curr length is3619
curr length is4181
curr length is4823
curr length is5302
curr length is5472
curr length is5269
curr length is4643
curr length is4549
curr length is4688
curr length is4784
curr length is5146
curr length is4284
curr length is5364
curr length is5010
curr length is4353
curr length is4696
curr length is4998
curr length is4326
curr length is4097
curr length is4835
curr length is3873
curr length is4680
curr length is4077
curr length is4723
curr length is5016
curr length is4618
curr length is5225
curr length is4562
curr length is4404
curr length is4545
curr length is3698
curr length is4643
curr length is4778
Iteration 21
curr length is4541
curr length is4532
curr length is5170
curr length is5151
curr length is5153
curr length is5162
curr length is4857
curr length is4962
curr length is4782
curr length is4729
curr length is4260
curr length is4178
curr length is4209
curr length is4381
curr length is4111
curr length is4666
curr length is4411
curr length is4762
curr length is4788
curr length is4295
curr length is4836
curr length is4985
curr length is4998
curr length is4685
curr length is4067
curr length is3559
curr length is4221
curr length is4925
curr length is4667
curr length is5125
curr length is5068
curr length is4879
curr length is4536
curr length is5263
curr length is4240
curr length is4028
curr length is5705
curr length is4009
curr length is5161
curr length is4797
curr length is3585
curr length is3958
curr length is3998
curr length is4192
curr length is4845
curr length is4596
curr length is3840
curr length is5314
curr length is5323
curr length is4357
Iteration 22
curr length is5201
curr length is4563
curr length is4942
curr length is4321
curr length is4789
curr length is5000
curr length is4072
curr length is4405
curr length is4446
curr length is5273
curr length is4431
curr length is4597
curr length is5263
curr length is4728
curr length is5164
curr length is4733
curr length is4814
curr length is4928
curr length is4635
curr length is5160
curr length is4737
curr length is4882
curr length is4770
curr length is4422
curr length is5198
curr length is4598
curr length is4470
curr length is4807
curr length is5345
curr length is5445
curr length is5178
curr length is4148
curr length is4313
curr length is4171
curr length is4369
curr length is4197
curr length is4837
curr length is4519
curr length is4919
curr length is4641
curr length is4111
curr length is4098
curr length is4519
curr length is4605
curr length is4063
curr length is5195
curr length is4859
curr length is4461
curr length is4721
curr length is4406
Iteration 23
curr length is4520
curr length is4831
curr length is4617
curr length is4596
curr length is5451
curr length is4636
curr length is4298
curr length is4509
curr length is4875
curr length is4709
curr length is4413
curr length is5040
curr length is4963
curr length is5381
curr length is4859
curr length is4930
curr length is4541
curr length is5423
curr length is4993
curr length is3814
curr length is4613
curr length is4376
curr length is5261
curr length is5002
curr length is4676
curr length is4925
curr length is5649
curr length is4184
curr length is4464
curr length is5061
curr length is4670
curr length is4067
curr length is4805
curr length is5374
curr length is4987
curr length is3826
curr length is4833
curr length is4497
curr length is4856
curr length is4358
curr length is5185
curr length is3812
curr length is4731
curr length is5638
curr length is4900
curr length is5164
curr length is5029
curr length is5350
curr length is4628
curr length is4361
Iteration 24
curr length is4982
curr length is4565
curr length is4330
curr length is5333
curr length is4882
curr length is4465
curr length is4153
curr length is3579
curr length is4955
curr length is4687
curr length is4020
curr length is4935
curr length is4812
curr length is4419
curr length is5055
curr length is4691
curr length is5338
curr length is5486
curr length is4323
curr length is4542
curr length is3970
curr length is5674
curr length is5095
curr length is4130
curr length is4345
curr length is4911
curr length is4281
curr length is4215
curr length is4732
curr length is4084
curr length is4938
curr length is5425
curr length is4377
curr length is4288
curr length is4301
curr length is5034
curr length is4914
curr length is4762
curr length is5196
curr length is4606
curr length is4240
curr length is5196
curr length is4780
curr length is4037
curr length is4574
curr length is5533
curr length is5159
curr length is4391
curr length is4497
curr length is4448
Iteration 25
curr length is4805
curr length is4133
curr length is5362
curr length is4216
curr length is3339
curr length is4212
curr length is4355
curr length is4541
curr length is4949
curr length is4853
curr length is5038
curr length is4561
curr length is4810
curr length is5083
curr length is4592
curr length is4749
curr length is4433
curr length is4228
curr length is4536
curr length is5324
curr length is5132
curr length is4821
curr length is4543
curr length is4049
curr length is5113
curr length is4570
curr length is4394
curr length is5137
curr length is4661
curr length is4409
curr length is4515
curr length is3803
curr length is4794
curr length is4584
curr length is4632
curr length is5120
curr length is4819
curr length is4537
curr length is4384
curr length is4009
curr length is4800
curr length is4328
curr length is4564
curr length is4409
curr length is4768
curr length is4560
curr length is4873
curr length is5099
curr length is4194
curr length is4323
Iteration 26
curr length is5035
curr length is4428
curr length is5361
curr length is4408
curr length is4289
curr length is5492
curr length is5321
curr length is4052
curr length is5422
curr length is4912
curr length is4912
curr length is5237
curr length is4479
curr length is4888
curr length is5185
curr length is5059
curr length is3740
curr length is4886
curr length is3979
curr length is5343
